Sachin Baby,BCJ Cutting,2,1,1,0,0,0,0,0,4,3
KA Pollard,CJ Jordan,2,0,2,0,0,0,0,0,2,3
Shakib Al Hasan,DJ Bravo,15,4,6,1,0,0,4,0,4,3
HH Pandya,Kuldeep Yadav,6,2,2,2,0,0,0,0,3,7
Q de Kock,MJ McClenaghan,9,6,1,0,0,0,1,1,4,2
V Kohli,HH Pandya,3,2,1,0,0,0,0,0,4,5
DR Smith,Sandeep Sharma,7,5,0,0,0,1,1,0,5,9
RA Jadeja,Gurkeerat Singh,5,2,1,1,1,0,0,0,7,6
SV Samson,A Zampa,3,1,1,0,0,0,0,1,4,10
WP Saha,VR Aaron,4,0,3,0,0,1,0,0,4,4
AR Patel,UT Yadav,5,1,2,1,0,0,0,1,5,9
UT Yadav,JA Morkel,2,1,1,0,0,0,0,0,6,5
NLTC Perera,B Kumar,4,1,2,0,0,0,1,0,2,3
KM Jadhav,BB Sran,1,0,0,1,0,0,0,0,2,3
SN Khan,B Kumar,5,0,0,0,0,4,1,0,6,3
SS Tiwary,VR Aaron,6,2,3,0,0,1,0,0,4,4
V Kohli,AS Rajpoot,7,1,4,1,0,1,0,0,4,3
SV Samson,PP Chawla,1,0,1,0,0,0,0,0,4,2
MJ Guptill,DR Smith,4,2,0,0,0,1,0,1,7,3
AB de Villiers,DJ Bravo,19,4,9,1,0,3,2,0,1,3
BB McCullum,R Ashwin,10,4,2,1,1,1,1,0,5,2
JP Faulkner,MJ McClenaghan,4,2,1,0,0,0,0,1,2,2
RG Sharma,HV Patel,8,3,3,1,0,0,1,0,4,8
GJ Maxwell,Z Khan,1,0,1,0,0,0,0,0,5,9
GJ Maxwell,RA Jadeja,1,0,1,0,0,0,0,0,5,2
DA Warner,DW Steyn,9,3,1,3,0,2,0,0,5,6
V Kohli,UT Yadav,6,1,4,0,0,1,0,0,4,9
JC Buttler,Kuldeep Yadav,3,1,1,0,0,1,0,0,2,7
RV Uthappa,JJ Bumrah,8,4,2,1,0,0,1,0,4,5
AB de Villiers,R Bhatia,11,0,8,2,0,1,0,0,1,2
HM Amla,B Kumar,10,4,3,0,0,2,0,1,5,3
S Dhawan,JP Duminy,5,2,0,1,0,2,0,0,4,5
RG Sharma,R Bhatia,11,2,7,1,0,0,1,0,4,2
AJ Finch,PP Chawla,5,1,1,0,0,2,1,0,5,2
Shakib Al Hasan,R Ashwin,4,2,2,0,0,0,0,0,4,2
PV Tambe,CH Gayle,6,6,0,0,0,0,0,0,9,3
V Kohli,BB Sran,5,1,0,2,0,0,1,1,4,3
YK Pathan,S Aravind,3,1,2,0,0,0,0,0,4,9
MC Henriques,Iqbal Abdulla,2,0,2,0,0,0,0,0,7,5
